"id","city_id","first_name","last_name","birth_date","job_sector","education","employment_status","income","personality"
"00001faa-453c-450b-9854-d12cf4adec25","6f022bfb-49ac-4215-8ab6-987288b9e665","Pierpaolo","Grimani","2006-09-17","Wildlife Management","High School","Unemployed",NULL,"Disciplined"
"000023ef-2b95-4ef4-94a2-6a58d7c8543a","3fd40bb3-52b9-4ec6-8c08-dcfdf680b773","Emanuel","Paiva","1988-12-04","Tourism","Masters","Unemployed",NULL,"Progressive"
"000026d4-8d7c-4406-abd5-e41ac6219ef8","8250329b-0c04-4bad-b3b6-933eb4342f73","Ilmari","Niemi","2005-04-24","Craftsmanship","Masters","Unemployed",NULL,"Calm"
"00002b2e-6963-4c58-9723-cdf741489f2e","bd7255a2-1274-4496-a1fa-5045a429bebb","Ingeborg","Bakken","1989-05-26","Ice Mining","Bachelors","Employed",NULL,"Traditional"
"00002d18-cf48-40c3-928b-7216f9c7236b","9a0d211d-47c0-48c0-8280-da6e171fc32f","Malene","Vestergaard","1986-11-09","Wildlife Management","Doctorate","Employed",NULL,"Disciplined"
"0000302e-0e1b-442e-b263-ee6cd9fec5be","0b6fecf4-f37e-43b1-bf35-8bdc7f61e268","Noemí","Martínez","1965-09-10","Telecommunications","High School","Employed",NULL,"Progressive"
"00003339-2aad-44a6-8681-0fb3888d74af","9702499f-9e56-4b39-90c7-d3312a11e987","Kévim","Pereira","1993-08-16","Telecommunications","High School","Employed",NULL,"Resilient"
"00003971-2dd2-44b4-9a17-eedac77689bb","37f4e1ad-f6be-404f-91a2-52208e1c6b93","Hannah","Espinoza","1940-11-11","Education","Bachelors","Employed",NULL,"Community-oriented"
"0000440c-36dc-4319-9044-a29390d1bf0f","b380211c-ba0c-4a69-99a5-bbcc08e5f020","Ivana","Blažková","1990-12-21","Government","High School","Employed",NULL,"Analytical"
"000044d0-4475-4657-a6f0-a4e8d733aedd","09d1c8b0-c489-4ae5-9dc8-c56155fbd052","Mona","Andersson","1939-08-15","Arctic Research","Masters","Employed",NULL,"Traditional"
"000045ce-1680-4d64-be7f-125d6ee23866","9c611fd3-6f20-4b4e-94cc-fd5f704bca3e","Estela","Guillen","1967-09-21","Shipping","Bachelors","Unemployed",NULL,"Progressive"
"0000464a-9ae9-4dd8-bdee-e57a87e43852","a82f3b90-59f3-4998-93d1-d69e54e8c4d5","Selçuk","Manço","1988-01-20","Government","Bachelors","Unemployed",NULL,"Adaptable"
"000048ca-d35c-4210-a67c-a36ae78e3df4","59a514d2-7bf2-4c10-a291-dd59eda11013","Honoré","Guillon","1977-07-04","Healthcare","Bachelors","Unemployed",NULL,"Cooperative"
"0000498d-24fc-47cf-b819-7e4f1ee81376","dcd5a6d2-95d7-4dfc-950a-4183ec9b04cb","Паца","Точева-Клопова","1939-10-15","Wildlife Management","Bachelors","Unemployed",NULL,"Practical"
"00004a04-8b9c-44f1-b390-aa5530ccbbee","501a6211-a023-4d56-9120-9a65798bf45f","Gustav","Johansson","2002-07-07","Thermal Energy","Doctorate","Employed",NULL,"Energetic"
"00004c6e-d473-4c13-ba61-bba2a1a5c4ed","9c8f9bbf-45c1-4757-82fb-df4fd6b7b533","Joanne","Henderson","1960-02-15","Meteorology","High School","Employed",NULL,"Innovative"
"00004eca-02b9-4763-8017-7c26f1f625f9","dcda92fb-b0b5-4238-ae9d-cf082f162b93","Marius","Næss","1981-02-21","Tourism","Bachelors","Employed",NULL,"Determined"
"00004fec-6d21-4753-b69b-da6ffb15cf82","a3098476-5fb9-4885-ac86-6c5aeb19a0c3","Beatrice","Duodo","1958-04-24","Education","Bachelors","Unemployed",NULL,"Curious"
"000054b2-e4a8-4a46-b0df-b698cdbf007a","9dd4cf32-eb35-46ea-9828-5289c682964c","Robert","Adam","1996-12-14","Fisheries","Masters","Employed",NULL,"Outgoing"
"000055ec-6aac-493e-b11f-bc1d0141f8f8","9a4ac49e-0928-40ce-a950-5e2119868abf","Kent","Johansson","1977-05-11","Construction","High School","Employed",NULL,"Curious"
"00005661-d69b-4a22-afb0-eba0657baaa2","a6e653ef-a50b-4f86-8a0e-d515ffb5973b","Marco","Reinhardt","1977-07-21","Search and Rescue","Bachelors","Unemployed",NULL,"Disciplined"
"00005e26-2135-4484-9e1a-8571a232a61e","8464d763-aed8-415c-9d9b-c80b6364065d","Тарас","Миронов","1959-12-31","Meteorology","Bachelors","Unemployed",NULL,"Disciplined"
"00005e8d-0a72-4d54-8a7e-6caa64506e1c","02d62390-db72-4eec-b7f7-3b5b53f09f43","Juan Carlos","Arroyo","1944-06-08","Tourism","High School","Employed",NULL,"Energetic"
"000060b1-bcc5-4c22-991d-b56a4b9398fc","de063c5a-44ee-4d17-a591-f56697e26917","Matthieu","Da Costa","1973-12-08","Engineering","Bachelors","Employed",NULL,"Adventurous"
"0000618d-0f55-4c52-9925-ac86e6166791","a9dfcdf5-2eb3-4f00-bbec-f89059f6d830","Fabrizio","Dallara","1970-09-23","Ice Mining","Doctorate","Employed",NULL,"Cooperative"
"00006200-25c3-487b-bcb5-f2cd0cf664c3","cef657e3-2002-47bc-ab03-213030cd409b","Jasmine","Robinson","1973-12-25","Engineering","High School","Employed",NULL,"Cooperative"
"00006810-feb4-456b-adfc-bd847455864d","112e2476-e9d6-42bc-94f2-c9fa10b29310","Mats","Johansson","1941-12-26","Telecommunications","Bachelors","Employed",NULL,"Disciplined"
"00006a2b-aa61-4e48-baf3-b0bf398ecde8","73dddb2b-6f3d-4058-9f02-cf157c8a51d3","Stig","Johansson","1935-08-09","Healthcare","High School","Employed",NULL,"Calm"
"00006a3c-4a39-4cc9-8954-33f716c22933","7ace7b45-582c-4b66-9631-53632da6b4da","Beata","Wesack","1959-02-05","Meteorology","High School","Employed",NULL,"Practical"
"00007261-cc82-4ac6-a065-68207e07a7d7","df7b67ea-5b18-4a88-85a4-8fa5409f3009","Milagros","Valencia","1953-09-09","Search and Rescue","Doctorate","Employed",NULL,"Resourceful"
"00007407-2778-4c88-ba33-7fe7e0e393de","b19efb67-4538-4a66-b263-70f1aebf8a77","April","Williams","1954-05-23","Fisheries","Masters","Employed",NULL,"Curious"
"000074f7-8b31-4b53-8223-7f3bcff5ca17","8b129e72-d7a7-4f4a-b8e3-1e513647040a","Johnnie","Mathiesen","1991-10-24","Snow Removal","Bachelors","Employed",NULL,"Resilient"
"0000783b-fe45-400e-9129-da8524f3a3da","aee37b4e-e7b7-4719-b257-1b31b1312acd","Jonathan","Vargas","1997-11-26","Engineering","Bachelors","Unemployed",NULL,"Community-oriented"
"00007cfa-2cbf-4c05-9704-2ef0ab60e4b9","ff9dd4a2-1bff-4d25-a32c-c8169f465ad1","Юрий","Некрасов","2003-01-08","Retail","Doctorate","Employed",NULL,"Adaptable"
"00007d26-9fa0-4065-968d-dc99ba8e0ca1","c2758add-9af8-4d95-8c26-977ee2bc0a57","Lillemor","Söderlund","1941-07-20","Tourism","Bachelors","Employed",NULL,"Progressive"
"000081ae-5b9b-401d-bc0e-2d05bd6c7299","d019bce1-e1ae-407b-8b69-b4136b80bbf3","Denise","Edwards","1993-06-03","Shipping","Masters","Employed",NULL,"Traditional"
"0000828a-dc9c-4958-9fbc-07e9b86106a4","59aad839-b0bd-42a3-9bd1-7ca53a46fd06","Duncan","Morgan","1967-10-26","Snow Removal","Doctorate","Employed",NULL,"Disciplined"
"000084c1-f27b-4947-a810-e8bbf00014c1","684f3ade-8f5e-4453-9415-23acfe6e5ace","Аристарх","Евдокимов","1971-08-14","Thermal Energy","High School","Unemployed",NULL,"Traditional"
"0000877a-76fa-43a0-99bb-ca7c570d5cf9","95a39a0b-20ed-4a7b-a8bf-be4d89170e52","Kevin","Malone","1956-12-01","Snow Removal","Masters","Unemployed",NULL,"Energetic"
"000088d3-2de5-4cd5-9862-f0e25b373e16","924a8999-e65c-4730-8e2b-4a85d76fec4f","Susanna","Ikonen","2001-08-22","Food Production","Bachelors","Unemployed",NULL,"Reserved"
"000089bf-b473-4e14-99b2-e7d5ab6c87ce","7e36e06f-6a65-495e-8362-251c1502df6c","Mark","Ferguson","2005-11-12","Meteorology","Bachelors","Employed",NULL,"Patient"
"00008aa9-aed9-45ef-9592-b5be48cf974a","d5e9b978-39e9-487b-ac08-810ccb87ba12","Mallory","Mcfarland","2001-01-09","Transportation","High School","Employed",NULL,"Outgoing"
"00008c9b-a81f-491f-addb-35b6b3814917","a07a123f-6afa-4faf-aa09-607c28865258","Yağın","Öcalan","1985-10-14","Snow Removal","Bachelors","Employed",NULL,"Innovative"
"00008d3c-778f-4644-a49f-a2c3dd9091a8","f0f54bd2-71b3-485b-96e9-d58c8827a955","Elias","Haas","1940-12-01","Transportation","Bachelors","Employed",NULL,"Disciplined"
"00008e86-7e10-4a9a-b40e-9293a29bafc1","edb21d86-9442-4207-9af1-ce301efbba69","Jon","Haugen","1956-01-13","Construction","High School","Employed",NULL,"Determined"
"00008f8e-8822-45dd-9ca0-e994f7b51280","4d39cdaf-7fa2-45ec-a5ad-3aa1c93c9dfd","Константин","Колобов","1946-04-25","Thermal Energy","Doctorate","Unemployed",NULL,"Disciplined"
"00009040-1dbb-4fe8-868a-adef68abd5c7","b68baa6b-a753-42e3-b3b9-04660fb11c2d","Lindsey","van Kempen","1974-11-10","Search and Rescue","High School","Employed",NULL,"Determined"
"000095c3-7b9f-4740-8a3e-f5c85ed634bb","29b5eb6a-3a35-4d2e-a4e4-4b2b3ae07547","Hortense","Roger","1949-06-20","Snow Removal","High School","Unemployed",NULL,"Disciplined"
"0000974c-a245-41af-a3fc-e0244409bdb8","0dbda52f-d7a6-444f-b1e4-137997c594d3","Alan","Harvey","2005-03-08","Telecommunications","Masters","Employed",NULL,"Innovative"
"00009757-c6d2-4ed5-a147-f7e814ca15f6","fbb3d29d-9fb6-4f26-b6ad-8c9efd45a27e","David","Martinez","1937-02-25","Thermal Energy","Masters","Employed",NULL,"Reserved"
"00009ccf-6239-4b90-84c6-bfebd38d60ea","cf580827-598d-4864-8f37-b40375718478","Philippine","Gros","1936-06-14","Government","Bachelors","Employed",NULL,"Resilient"
"0000a67a-9d12-4a75-b171-53e5fd8581ee","3edb0e28-7cc1-496d-a168-6ec8013f6c96","Ursina","Ritter","1991-08-27","Food Production","High School","Employed",NULL,"Adaptable"
"0000a837-6955-433a-adfd-91be5993c91d","0f3fb332-cba2-4a3e-9126-0d61d0921965","Jared","Garrison","2006-01-31","Fisheries","High School","Employed",NULL,"Patient"
"0000ac42-64e9-4576-ab96-8d397bdb5f7f","9c8f9bbf-45c1-4757-82fb-df4fd6b7b533","Benjamin","Mora","1964-09-03","Thermal Energy","High School","Employed",NULL,"Patient"
"0000aced-dcc5-441c-9a79-f442ef6c2a0c","5cd0d37d-4bb8-430c-9519-d86688e72fa9","Andrew","Holden","1999-02-01","Ice Mining","High School","Employed",NULL,"Patient"
"0000adab-0506-475d-ad97-a233ce2abde7","1a15cf1c-7ebf-4bbd-80b4-883872a8e6e2","Фаина","Кулакова","2001-10-20","Healthcare","Bachelors","Employed",NULL,"Traditional"
"0000afa9-57a6-4fcb-972e-36ca7ef47ba4","de1ac778-e470-4539-ad19-642979b2da61","Eberhardt","Stiffel","2001-08-07","Transportation","Masters","Employed",NULL,"Community-oriented"
"0000b010-bb4c-46be-ab68-87d9fef02323","9a4ac49e-0928-40ce-a950-5e2119868abf","Hans","Johansson","1960-11-02","Education","Bachelors","Employed",NULL,"Analytical"
"0000b099-b111-479c-ab8a-75e8414dd68e","30d65c7c-45bb-4c19-adbf-b5b829c597f0","Veikko","Väyrynen","1966-07-22","Construction","Doctorate","Employed",NULL,"Cooperative"
"0000be3f-e2f9-4791-8a80-4150c47e93a1","37da6df9-2151-4e54-88bb-019abb5427d9","Автоном","Кононов","1981-03-31","Transportation","Masters","Employed",NULL,"Traditional"
"0000bf13-02df-424d-8e52-d369ecc60fd9","c846f588-a939-4742-be2e-de9721e6e28a","Toralf","Heintze","1959-12-10","Transportation","Bachelors","Employed",NULL,"Progressive"
"0000c2f2-5d24-4ce0-bdfb-f957e54fc480","fc09cd68-86a2-402d-af26-65744c73d2b7","William","Little","2003-08-02","Arctic Research","Bachelors","Employed",NULL,"Determined"
"0000c477-b34a-4870-8835-c11e461bf35d","e6704489-7fbe-43f4-b3fa-cecbccfcf70b","Tillmann","Peukert","1953-08-04","Government","High School","Employed",NULL,"Cooperative"
"0000c47f-ab2f-4835-90c6-c8b5b6b370f1","083a1ed4-8341-4cb0-b8f6-031c76f5b46f","Matias","Luukkonen","1959-07-01","Ice Mining","Doctorate","Employed",NULL,"Adaptable"
"0000c4bd-24c4-4059-a62b-dc38f0c9306a","de1cccbb-222a-4b84-9947-54ea966498b4","Necati","Bohlander","1977-01-25","Healthcare","Masters","Employed",NULL,"Practical"
"0000c989-79c8-4bfa-929a-7dec7955bfcf","19fe3c55-036c-47c0-a8de-ffb2f4fa88a7","Anita","Jonsson","1956-05-29","Snow Removal","Masters","Unemployed",NULL,"Disciplined"
"0000c9fd-ed09-4ee8-822c-93ffcdcca5a6","f60a5621-6eac-4b05-bb58-830f1c6e52d0","Pepijn","Estey","1985-03-15","Transportation","Masters","Employed",NULL,"Independent"
"0000cdf2-e346-49f9-920f-47f94103e78e","016e1fd1-f6d5-4979-9cc8-8b0d79ab6faf","Satıa","Akdeniz","1936-11-27","Telecommunications","Masters","Unemployed",NULL,"Calm"
"0000ceaf-315b-4bfe-b8bb-2a9750ee43a2","448f7cd8-8923-482c-8e77-31d93bf2bed4","June","Mitchell","1961-06-24","Transportation","Masters","Employed",NULL,"Disciplined"
"0000d0a3-b5db-4a28-9639-1a156569ff00","0b6fecf4-f37e-43b1-bf35-8bdc7f61e268","Borja","Duarte","1938-07-20","Arctic Research","Doctorate","Unemployed",NULL,"Patient"
"0000d1db-043b-4a5b-97c2-c0795d6437c4","3e4d55a1-aafb-4a0f-a1a5-671928febeb7","Milan","Doležal","1983-07-21","Craftsmanship","Masters","Unemployed",NULL,"Calm"
"0000d309-46cd-4214-803c-7bd62a3c9f57","2d23425f-7d80-428b-935f-86accb19bfb4","Tapani","Niemi","1997-04-16","Search and Rescue","High School","Unemployed",NULL,"Analytical"
"0000d37e-2d78-4408-9c09-defd3399b38d","bb9b3344-76f8-43e5-90d2-dab5d725f7a4","Evangelista","Columbo","1967-02-22","Thermal Energy","Doctorate","Employed",NULL,"Calm"
"0000d419-df98-473a-b6aa-4d34a0d987d9","bce4e245-1b4e-42ab-ac38-d4e647218c8b","Ingelise","Bruun","1962-01-08","Craftsmanship","High School","Employed",NULL,"Outgoing"
"0000d6c5-1151-497c-af21-946f77ef35e6","7bec9335-2cdd-4c3f-b39e-4badf41389ae","Nick","Voortman","1981-04-08","Arctic Research","High School","Unemployed",NULL,"Cooperative"
"0000d902-83a6-47bb-b907-ee2d094a6599","bd7255a2-1274-4496-a1fa-5045a429bebb","Frode","Vik","1954-02-11","Telecommunications","Bachelors","Employed",NULL,"Patient"
"0000d97d-473c-4645-9b71-d8dc6675b225","b9b640c2-84c5-4b7d-aa39-54914dff2c69","Jonas","Persson","1938-12-24","Wildlife Management","High School","Employed",NULL,"Patient"
"0000d994-2df4-40c1-8cb8-2cf3ac2b07b8","b833bea5-280d-4620-9112-f2582926f307","John","Cordova","1976-07-08","Search and Rescue","High School","Employed",NULL,"Resourceful"
"0000d9e8-da68-4706-a4a9-bbed2e139788","d357124e-ec8e-46cb-85b4-2d6df6748682","Mikko","Piirainen","1976-01-19","Arctic Research","Masters","Employed",NULL,"Adventurous"
"0000dd5b-4d8e-4982-b334-d374053059bc","7fefca64-e0d0-4853-aced-7d0263265f2f","Tuulikki","Jokinen","1948-02-14","Transportation","Masters","Employed",NULL,"Resilient"
"0000e01f-fe18-4869-965f-bff1f0db7ef8","a3df49ce-d095-49fb-8b0e-74b2d51dd340","Linda","Hill","1945-03-12","Wildlife Management","High School","Employed",NULL,"Adaptable"
"0000e028-44a3-4302-a50c-f047ded75d85","564911fc-8df0-4d6c-8ba1-a43f5eeee975","Martin","Horák","1996-12-03","Thermal Energy","Doctorate","Employed",NULL,"Practical"
"0000e1a0-4993-4fde-8118-44eb274333c2","1a007d8e-1f08-41b7-89f0-fac0e9005ffd","Courtney","Lopez","1973-03-16","Transportation","High School","Employed",NULL,"Creative"
"0000e6e2-3ec7-4b96-aee3-c6b6e7a7899e","f726ab0f-cb42-416a-baa6-264f854fea73","Cristobal","Olivares","1966-09-07","Snow Removal","Bachelors","Employed",NULL,"Creative"
"0000e83f-de56-4914-bfd9-4e486ab77117","256f235b-126b-4149-8054-54d8d1aac3c0","Hans","Wulf","1982-11-03","Search and Rescue","Bachelors","Employed",NULL,"Innovative"
"0000ea2d-bc61-4311-b373-9d28714f21dc","c846f588-a939-4742-be2e-de9721e6e28a","Eugenia","Stiffel","1947-03-28","Meteorology","High School","Unemployed",NULL,"Disciplined"
